HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
CBU,CSUN,33,55,149
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
CSUN,Frank wins the tipoff for CSUN!,Tipoff,0,0,0,149
CSUN,William Drew 3-point attempt...Missed!Rebounded by CBU Ronald Nyman.,Score,0,0,1,149
CBU,Jesus Archuletta 2-point jumper...Missed!       Rebounded by CSUN William Reese.,Missed,0,0,2,149
CSUN,Kenneth Fulkrod Inside shot...Missed!       Rebounded by CBU Jesus Archuletta.,Score,0,0,3,149
CBU,Jesus Archuletta 3-point attempt...Missed!       Rebounded by CSUN William Drew.,Miss,0,0,4,149
CSUN,William Drew 3-point attempt...Missed!Rebounded by CBU Jesus Archuletta.,Score,0,0,5,149
CBU,Jesus Archuletta Inside shot...Missed!       Rebounded by CSUN William Drew.,Score,0,0,6,149
CSUN,William Reese Inside shot... Missed but with a foul on the play.,Fouled,0,0,7,149
CSUN,Free throw coming up... rattled out.,FreeThrow,0,0,7,149
CSUN,Free throw coming up... good!,FreeThrow,0,1,7,149
CBU,Jesus Archuletta Inside shot... Missed with a foul on the play.,Fouled,0,1,8,149
CBU,Free throw coming up... good!,FreeThrow,1,1,8,149
CBU,Free throw coming up... rattled out.       Rebounded by CBU Joseph Sanchez.,FreeThrow,1,1,8,149
CBU,Adam Kavuri 2-point jumper...Missed!       Rebounded by CSUN William Reese.,Missed,1,1,9,149
CSUN,Scotty Metzler Inside shot...Missed!       Rebounded by CBU Domenic Will.,Score,1,1,10,149
CBU,Jesus Archuletta 2-point jumper...Missed!       Rebounded by CBU Joseph Sanchez.,Missed,1,1,11,149
CBU,Jesus Archuletta 3-point attempt...Missed!       Rebounded by CSUN Roy Wood.,Miss,1,1,12,149
CSUN,William Reese 2-point jumper...Missed!       Rebounded by CBU Ronald Nyman.,Score,1,1,13,149
CBU,Jesus Archuletta 3-point attempt...Missed!       Rebounded by CBU Jesus Archuletta.,Missed,1,1,14,149
CBU,Jesus Archuletta 2-point jumper...Score!,Score,3,1,15,149
CSUN,William Drew Inside shot...Score!,Score,3,3,16,149
CBU,Ronald Nyman 3-point attempt...Missed!       Rebounded by CSUN Roy Wood.,Miss,3,3,17,149
CSUN,William Reese 2-point jumper...Score!,Score,3,5,18,149
CBU,Jesus Archuletta Inside shot...Score!,Score,5,5,19,149
CSUN,William Drew Inside shot...BLOCKED by Jesus Archuletta.       Rebounded by CBU Frederick Peters.,Turnover,5,5,20,149
CBU,Jesus Archuletta Inside shot...Missed!       Rebounded by CSUN Scotty Metzler.,Score,5,5,21,149
CSUN,CSUN William Reese lost the ball out of bounds.,Turnover,5,5,22,149
CBU,Jesus Archuletta 2-point jumper...Missed!       Rebounded by CSUN Jeffrey Butler.,Missed,5,5,23,149
CSUN,William Drew 3-point attempt...Score!       Assisted by: Scotty Metzler,Score,5,8,24,149
CBU,Jesus Archuletta 2-point jumper...Missed!       Rebounded by CSUN Scotty Metzler.,Missed,5,8,25,149
CBU,Domenic Will steals the ball for CBU!,Turnover,5,8,26,149
CBU,Jesus Archuletta Inside shot...BLOCKED by CSUN Frank Reece.       Rebounded by CSUN William Drew.,Turnover,5,8,27,149
CSUN,CSUN Shane Collins lost the ball out of bounds.,Turnover,5,8,28,149
CSUN,Jeffrey Butler steals the ball for CSUN!,Turnover,5,8,29,149
CSUN,William Reese Inside shot...Missed!       Rebounded by CSUN William Reese.,Score,5,8,30,149
CSUN,Jeffrey Butler Inside shot...Score!,Score,5,10,31,149
CBU,Jesus Archuletta 3-point attempt...Missed!       Rebounded by CSUN Jeffrey Butler.,Miss,5,10,32,149
CSUN,William Reese 2-point jumper...Missed!       Rebounded by CBU Domenic Will.,Score,5,10,33,149
CBU,Jesus Archuletta Inside shot...Missed!       Rebounded by CSUN William Reese.,Score,5,10,34,149
CSUN,William Drew 3-point attempt...Score!       Assisted by: Scotty Metzler,Score,5,13,35,149
CBU,Jesus Archuletta 2-point jumper...Missed!       Rebounded by CBU Ronald Nyman.,Missed,5,13,36,149
CBU,Jesus Archuletta Inside shot...BLOCKED by CSUN Scotty Metzler.       Rebounded by CBU Christopher Underwood.,Turnover,5,13,37,149
CBU,CBU Jesus Archuletta lost the ball out of bounds.,Out of Bounds,5,13,38,149
CSUN,CSUN Kenneth Fulkrod lost the ball out of bounds.,Turnover,5,13,39,149
CBU,Jesus Archuletta Inside shot...Missed!       Rebounded by CBU Steven Robinson.,Score,5,13,40,149
CBU,Ronald Nyman Inside shot...Missed!       Rebounded by CSUN Roy Wood.,Score,5,13,41,149
CSUN,Roy Wood 2-point jumper...Missed!       Rebounded by CBU Steven Robinson.,Score,5,13,42,149
CBU,Jesus Archuletta 2-point jumper...Score!,Score,7,13,43,149
CSUN,William Reese Inside shot...Missed!       Rebounded by CBU Ronald Nyman.,Score,7,13,44,149
CBU,Ronald Nyman Inside shot...Score!,Score,9,13,45,149
CSUN,William Drew 3-point attempt...Missed!Rebounded by CBU Domenic Will.,Score,9,13,46,149
CBU,Jesus Archuletta 2-point jumper...Score!,Score,11,13,47,149
CSUN,Jeffrey Butler Inside shot...Score! Fouled and we have a free throw folks!,Score,11,15,48,149
CSUN,Free throw coming up... good!,FreeThrow,11,16,48,149
