HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Total Possessions
WISC,UWGB,57,48,136
""
Team,Result,PlayType,TeamOneScore,TeamTwoScore,Possession,Total Possessions
WISC,Ian wins the tipoff for WISC!,Tipoff,0,0,0,136
WISC,Craig Mitchell Inside shot...Score!       Assisted by: William Harris,Score,2,0,1,136
UWGB,Jerome Berger 2-point jumper...BLOCKED by Craig Mitchell.       Rebounded by UWGB Jessie Taliaferro.,Turnover,2,0,2,136
UWGB,UWGB Charles Webb lost the ball out of bounds.,Turnover,2,0,3,136
WISC,WISC Ian Mccall lost the ball out of bounds.,Out of Bounds,2,0,4,136
UWGB,Gregory Howard 2-point jumper...Score!,Score,2,2,5,136
WISC,Andrew Jones Inside shot...Missed!       Rebounded by UWGB Kang Franklin.,Score,2,2,6,136
UWGB,Robert Snell Inside shot...Score! Fouled and we have a free throw folks!       Assisted by: Gregory Howard,Score,2,4,7,136
UWGB,Free throw coming up... rattled out.       Rebounded by WISC Craig Mitchell.,FreeThrow,2,4,7,136
WISC,Nicholas Mitchell Inside shot...Score!,Score,4,4,8,136
UWGB,Jessie Taliaferro 3-point attempt...Score!       Assisted by: Gregory Howard,Score,4,7,9,136
WISC,William Sun Inside shot... Missed with a foul on the play.,Fouled,4,7,10,136
WISC,Free throw coming up... good!,FreeThrow,5,7,10,136
WISC,Free throw coming up... rattled out.       Rebounded by UWGB Kang Franklin.,FreeThrow,5,7,10,136
UWGB,Robert Snell Inside shot...BLOCKED by Jerome Kearsee.       Rebounded by WISC Amos Quinn.,Turnover,5,7,11,136
WISC,Ian Mccall Inside shot...Missed!       Rebounded by UWGB Jessie Taliaferro.,Score,5,7,12,136
UWGB,Charles Webb Inside shot...Missed!       Rebounded by WISC Craig Mitchell.,Score,5,7,13,136
WISC,Jeramy Booth Inside shot...Missed!       Rebounded by UWGB Charles Webb.,Score,5,7,14,136
UWGB,Charles Webb Inside shot... Missed but with a foul on the play.,Fouled,5,7,15,136
UWGB,Free throw coming up... good!,FreeThrow,5,8,15,136
UWGB,Free throw coming up... good!,FreeThrow,5,9,15,136
WISC,William Sun Inside shot... Missed with a foul on the play.,Fouled,5,9,16,136
WISC,Free throw coming up... good!,FreeThrow,6,9,16,136
WISC,Free throw coming up... good!,FreeThrow,7,9,16,136
UWGB,Gregory Howard 2-point jumper...BLOCKED by Andrew Jones.       Rebounded by WISC John Lopez.,Turnover,7,9,17,136
WISC,Ian Mccall Inside shot...Missed!       Rebounded by UWGB Jessie Taliaferro.,Score,7,9,18,136
UWGB,Gregory Howard 2-point jumper...Score!       Assisted by: Charles Webb,Score,7,11,19,136
WISC,Nicholas Mitchell Inside shot...Score! Foul on the play and one!       Assisted by: William Harris,Score,9,11,20,136
WISC,Free throw coming up... good!,FreeThrow,10,11,20,136
UWGB,UWGB Robert Snell lost the ball out of bounds.,Turnover,10,11,21,136
UWGB,Robert Snell steals the ball for UWGB!,Turnover,10,11,22,136
UWGB,Gregory Howard 2-point jumper...Missed!       Rebounded by UWGB Charles Webb.,Score,10,11,23,136
UWGB,Charles Webb Inside shot...Score!,Score,10,13,24,136
WISC,Andrew Jones 2-point jumper...Missed!       Rebounded by UWGB Gregory Howard.,Missed,10,13,25,136
UWGB,Jessie Taliaferro Inside shot...Score!,Score,10,15,26,136
WISC,Michael Vanhorn 3-point attempt...Missed!       Rebounded by UWGB Kang Franklin.,Miss,10,15,27,136
UWGB,Charles Webb Inside shot... Missed but with a foul on the play.,Fouled,10,15,28,136
UWGB,Free throw coming up... good!,FreeThrow,10,16,28,136
UWGB,Free throw coming up... good!,FreeThrow,10,17,28,136
WISC,WISC: Offensive foul on WISC Jeramy Booth.,Foul,10,17,29,136
UWGB,Enrique Hernandez 3-point attempt...Score!       Assisted by: Gregory Howard,Score,10,20,30,136
UWGB,Jessie Taliaferro steals the ball for UWGB!,Turnover,10,20,31,136
UWGB,Charles Webb 2-point jumper...Score!,Score,10,22,32,136
WISC,William Sun Inside shot...Score!,Score,12,22,33,136
WISC,Andrew Jones steals the ball for WISC!,Turnover,12,22,34,136
WISC,William Sun Inside shot... Missed with a foul on the play.,Fouled,12,22,35,136
WISC,Free throw coming up... rattled out.       Rebounded by WISC Matthew Garrison.,FreeThrow,12,22,35,136
WISC,Andrew Jones Inside shot...Missed!       Rebounded by UWGB Jessie Taliaferro.,Score,12,22,36,136
UWGB,Jessie Taliaferro 2-point jumper...Missed!       Rebounded by WISC Andrew Jones.,Score,12,22,37,136
WISC,Nicholas Mitchell Inside shot...Score!,Score,14,22,38,136
UWGB,Gregory Howard 2-point jumper...BLOCKED by William Harris.       Rebounded by WISC William Harris.,Turnover,14,22,39,136
WISC,WISC Ian Mccall lost the ball out of bounds.,Out of Bounds,14,22,40,136
WISC,Nicholas Mitchell steals the ball for WISC!,Turnover,14,22,41,136
WISC,Andrew Jones Inside shot... Missed with a foul on the play.,Fouled,14,22,42,136
